"ID","Hospital","Responset1","Responset2","Responset3","Trt","Experience","Gender","Size"
1,1,36,38,38,1,6.8,1,0
2,1,35,39,39,1,9.1,1,0
3,1,46,41,41,0,6,1,0
4,1,31,31,40,1,3.7,0,0
5,1,36,36,39,1,12.1,1,0
6,1,29,33,36,1,15.8,0,0
7,1,41,39,43,0,6.3,0,0
8,1,41,38,39,0,3.9,0,0
9,1,33,35,40,1,10.2,1,0
10,1,44,43,43,0,7.2,1,0
11,2,44,45,40,0,3.1,1,0
12,2,43,43,44,0,7.4,1,0
13,2,38,39,42,0,5.4,0,0
14,2,34,36,37,1,6.2,1,0
15,2,38,41,38,0,4.1,0,0
16,2,42,45,39,0,18.2,1,0
17,2,36,38,38,0,6.3,0,0
18,2,36,33,34,1,3.3,0,0
19,2,37,38,37,1,8.2,1,0
20,2,43,39,40,0,8.4,0,0
21,3,31,37,36,1,4.5,0,0
22,3,39,39,38,1,1.7,1,0
23,3,32,33,35,1,5.4,0,0
24,3,33,36,39,1,9.8,1,0
25,3,38,37,42,1,7.2,1,0
26,3,38,41,40,0,7,1,0
27,3,35,38,36,1,9.8,1,0
28,3,40,43,38,0,4.1,1,0
29,3,38,39,39,0,12.8,0,0
30,3,35,37,39,1,7.4,1,0
31,4,43,40,43,0,10.5,1,1
32,4,41,44,43,0,12.4,1,1
33,4,42,42,43,0,8.3,1,1
34,4,43,43,44,0,4.8,1,1
35,4,38,42,40,0,13.2,0,1
36,4,33,38,35,1,2.7,0,1
37,4,34,34,39,1,5.6,0,1
38,4,39,42,39,1,6.5,1,1
39,4,39,36,40,1,6.8,0,1
40,4,34,37,38,1,12.3,1,1
41,5,39,39,43,1,7.9,0,0
42,5,38,38,41,1,9.1,1,0
43,5,38,44,41,0,7.1,0,0
44,5,36,37,39,1,6.5,1,0
45,5,43,44,43,0,10.5,1,0
46,5,36,37,35,1,13.1,0,0
47,5,41,44,48,0,2.2,1,0
48,5,37,40,40,1,9.8,1,0
49,5,42,38,40,0,8.9,0,0
50,5,37,37,40,1,6,0,0
51,6,41,40,43,0,11.9,1,1
52,6,42,40,39,1,6.1,0,1
53,6,44,45,47,0,6.4,1,1
54,6,43,41,43,0,11.3,1,1
55,6,40,43,43,0,17.5,1,1
56,6,41,41,44,0,8.5,1,1
57,6,35,40,38,1,6,1,1
58,6,43,44,42,0,4.1,1,1
59,6,45,44,43,0,6.3,0,1
60,6,42,39,43,1,4.6,1,1
61,7,40,39,40,1,6.5,0,1
62,7,44,41,43,0,9,1,1
63,7,43,41,44,0,4.8,1,1
64,7,39,42,43,0,27.8,1,1
65,7,42,45,40,0,8,0,1
66,7,34,38,42,1,13,1,1
67,7,43,44,43,0,2.4,1,1
68,7,44,42,40,0,10.7,0,1
69,7,42,43,43,1,3.8,1,1
70,7,39,42,37,1,11.7,0,1
71,8,36,38,38,1,9,1,0
72,8,32,38,35,1,6,0,0
73,8,41,39,37,0,14.3,1,0
74,8,36,35,37,1,5.2,1,0
75,8,40,43,44,0,5.5,1,0
76,8,40,39,38,0,4.5,0,0
77,8,31,34,36,1,5.3,0,0
78,8,36,35,33,1,11.9,1,0
79,8,33,35,33,1,9.2,0,0
80,8,33,36,35,1,12.2,0,0
81,9,34,38,40,1,6.1,1,0
82,9,38,39,37,1,8.9,0,0
83,9,38,40,39,0,8.3,1,0
84,9,35,34,36,1,3.6,1,0
85,9,37,39,39,1,18,0,0
86,9,34,40,39,1,7.9,1,0
87,9,36,35,34,1,10.8,0,0
88,9,34,33,36,1,11.9,1,0
89,9,38,37,41,1,7.2,1,0
90,9,36,35,36,1,6.3,1,0
91,10,37,41,42,0,11.6,1,0
92,10,39,43,42,0,4.4,1,0
93,10,38,38,36,1,19.8,1,0
94,10,37,37,40,1,6.1,0,0
95,10,37,38,41,0,16.9,0,0
96,10,34,39,38,1,15.7,0,0
97,10,38,40,37,1,7.7,1,0
98,10,39,45,40,0,9.8,1,0
99,10,40,37,41,1,4.4,0,0
100,10,40,39,38,1,8.7,1,0
101,11,34,39,33,0,12.5,0,0
102,11,39,40,40,0,7.8,1,0
103,11,38,41,42,0,5.9,1,0
104,11,41,40,38,0,5.3,0,0
105,11,39,41,41,0,7.3,1,0
106,11,37,41,39,0,12.6,1,0
107,11,38,37,37,1,5.8,1,0
108,11,36,37,37,1,7,1,0
109,11,34,33,35,1,3.9,0,0
110,11,34,32,36,1,9.5,1,0
111,12,36,35,35,0,14.2,0,0
112,12,38,37,39,0,15.6,0,0
113,12,36,34,39,0,11.1,1,0
114,12,40,44,40,0,2.9,1,0
115,12,40,37,34,0,9.4,1,0
116,12,41,36,36,0,9.3,1,0
117,12,39,40,39,0,6.2,0,0
118,12,43,37,40,0,8,1,0
119,12,41,42,39,0,4.8,1,0
120,12,33,36,37,1,10.4,1,0
121,13,42,43,42,0,6.3,0,1
122,13,41,46,45,1,3.4,1,1
123,13,44,42,45,1,6.1,1,1
